cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta,,,,,
486,482,10,2022-07-18 20:48:45 UTC,1%,"$125,288.10 ","$151,666.94 ","$26,378.84 ","$2,085.24 ",113,3,Em análise,,,,,
980,703,10,2010-10-01 11:10:59 UTC,1%,"$104,619.55 ","$125,779.06 ","$21,159.51 ","$1,695.58 ",120,0,Em análise,,,,,
1161,466,10,2012-02-25 10:38:52 UTC,2%,"$135,995.57 ","$202,864.43 ","$66,868.86 ","$3,904.88 ",78,3,Em análise,,,,,
1305,969,10,2021-04-17 22:53:35 UTC,2%,"$57,348.29 ","$109,760.41 ","$52,412.12 ","$3,672.29 ",18,6,Em análise,,,,,
1357,173,10,2011-07-19 13:36:58 UTC,1%,"$46,434.67 ","$80,919.20 ","$34,484.53 ","$1,901.75 ",28,3,Em análise,,,,,
1494,162,10,2019-04-09 02:26:52 UTC,2%,"$168,631.68 ","$212,208.65 ","$43,576.97 ","$8,001.32 ",27,2,Em análise,,,,,
1596,118,10,2011-09-24 11:16:44 UTC,1%,"$127,549.13 ","$159,760.66 ","$32,211.53 ","$2,738.76 ",72,1,Em análise,,,,,
1025,847,11,2017-08-22 13:05:40 UTC,2%,"$59,509.83 ","$91,298.96 ","$31,789.13 ","$2,108.66 ",45,6,Em análise,,,,,
1107,980,11,2022-11-18 17:45:26 UTC,2%,"$19,349.66 ","$36,140.87 ","$16,791.21 ",$412.13 ,87,6,Em análise,,,,,
1428,924,11,2012-05-28 08:59:28 UTC,2%,"$24,740.02 ","$39,246.81 ","$14,506.79 ",$681.44 ,91,0,Em análise,,,,,
1451,365,11,2017-03-18 19:49:18 UTC,2%,"$131,772.22 ","$184,433.19 ","$52,660.97 ","$3,301.06 ",66,4,Em análise,,,,,
1534,708,11,2018-05-05 22:53:38 UTC,2%,"$37,921.27 ","$51,609.70 ","$13,688.43 ","$1,861.36 ",27,0,Em análise,,,,,
1610,821,11,2016-06-07 16:20:11 UTC,2%,"$81,996.21 ","$154,433.47 ","$72,437.26 ","$7,301.79 ",13,5,Em análise,,,,,
1904,593,11,2019-02-02 09:43:10 UTC,1%,"$59,032.85 ","$81,907.29 ","$22,874.44 ",$807.66 ,112,6,Em análise,,,,,
45,298,12,2021-11-24 10:34:29 UTC,2%,"$90,801.17 ","$167,563.10 ","$76,761.93 ","$2,431.68 ",108,0,Em análise,,,,,
518,133,12,2010-01-20 07:48:50 UTC,2%,"$165,817.19 ","$219,868.31 ","$54,051.12 ","$5,079.15 ",50,1,Em análise,,,,,
1197,282,12,2018-08-19 06:28:17 UTC,1%,"$32,204.60 ","$40,053.55 ","$7,848.95 ",$461.61 ,107,6,Em análise,,,,,
1218,948,12,2018-02-11 17:39:17 UTC,2%,"$100,896.21 ","$142,068.35 ","$41,172.14 ","$2,569.64 ",112,5,Em análise,,,,,
1232,235,12,2013-01-22 08:20:15 UTC,2%,"$105,870.62 ","$183,510.02 ","$77,639.40 ","$18,824.17 ",6,2,Em análise,,,,,
1319,960,12,2015-06-04 14:54:22 UTC,2%,"$31,979.26 ","$38,086.40 ","$6,107.14 ","$5,695.64 ",6,4,Em análise,,,,,
1719,276,12,2018-07-29 04:11:23 UTC,1%,"$119,323.20 ","$189,724.55 ","$70,401.35 ","$3,717.42 ",40,1,Em análise,,,,,
57,950,13,2013-03-28 23:21:05 UTC,1%,"$107,840.65 ","$144,234.53 ","$36,393.88 ","$2,039.35 ",81,2,Em análise,,,,,
202,813,13,2022-09-16 22:30:47 UTC,2%,"$102,638.11 ","$198,722.53 ","$96,084.42 ","$3,377.34 ",44,5,Em análise,,,,,
328,835,13,2015-01-06 09:04:26 UTC,1%,"$31,142.43 ","$61,877.24 ","$30,734.81 ",$602.33 ,97,1,Em análise,,,,,
857,182,13,2022-08-24 20:10:51 UTC,2%,"$131,839.59 ","$234,725.24 ","$102,885.65 ","$2,385.75 ",120,1,Em análise,,,,,
892,493,13,2011-07-26 23:37:58 UTC,2%,"$61,159.15 ","$105,877.22 ","$44,718.07 ","$1,522.95 ",77,4,Em análise,,,,,
908,167,13,2015-12-22 08:10:11 UTC,2%,"$36,978.99 ","$51,063.39 ","$14,084.40 ","$1,101.63 ",59,1,Em análise,,,,,
1368,972,13,2010-08-04 09:34:38 UTC,2%,"$165,372.26 ","$209,244.59 ","$43,872.33 ","$3,601.21 ",90,5,Em análise,,,,,
97,552,14,2017-10-16 15:04:51 UTC,2%,"$82,610.01 ","$124,376.52 ","$41,766.51 ","$2,000.88 ",89,0,Em análise,,,,,
139,722,14,2011-12-17 06:20:56 UTC,2%,"$166,568.54 ","$214,209.91 ","$47,641.37 ","$4,218.12 ",83,2,Em análise,,,,,
320,832,14,2012-08-14 04:04:28 UTC,2%,"$83,896.07 ","$130,573.16 ","$46,677.09 ","$2,324.01 ",78,5,Em análise,,,,,
831,930,14,2018-01-17 21:12:44 UTC,1%,"$39,450.68 ","$47,487.52 ","$8,036.84 ",$626.25 ,89,0,Em análise,,,,,
1068,219,14,2015-02-04 07:48:16 UTC,2%,"$40,254.62 ","$71,168.65 ","$30,914.03 ","$1,725.26 ",32,4,Em análise,,,,,
1425,682,14,2017-12-17 00:23:37 UTC,2%,"$41,794.26 ","$76,403.18 ","$34,608.92 ","$1,669.24 ",35,4,Em análise,,,,,
1486,48,14,2015-10-10 08:34:37 UTC,2%,"$77,772.97 ","$113,222.40 ","$35,449.43 ","$79,530.64 ",1,0,Em análise,,,,,
1988,7,14,2022-04-05 10:57:41 UTC,2%,"$82,768.58 ","$115,375.51 ","$32,606.93 ","$4,597.20 ",24,4,Em análise,,,,,
365,645,15,2013-09-16 16:00:04 UTC,2%,"$159,566.15 ","$208,865.39 ","$49,299.24 ","$3,359.36 ",96,3,Em análise,,,,,
600,521,15,2014-01-11 00:16:06 UTC,1%,"$90,076.22 ","$146,615.74 ","$56,539.52 ","$1,768.27 ",74,3,Em análise,,,,,
961,123,15,2016-12-31 08:17:11 UTC,2%,"$152,376.97 ","$245,028.53 ","$92,651.56 ","$3,620.80 ",75,4,Em análise,,,,,
1061,706,15,2019-04-05 08:25:36 UTC,1%,"$103,239.02 ","$162,632.47 ","$59,393.45 ","$2,276.50 ",71,2,Em análise,,,,,
1279,408,15,2011-12-16 19:08:15 UTC,2%,"$68,276.90 ","$81,102.92 ","$12,826.02 ","$2,255.81 ",50,0,Em análise,,,,,
1201,726,16,2011-01-24 19:42:38 UTC,2%,"$90,739.47 ","$108,373.61 ","$17,634.14 ","$2,253.43 ",75,6,Em análise,,,,,
1617,27,16,2016-03-13 23:48:07 UTC,1%,"$25,773.70 ","$46,882.51 ","$21,108.81 ",$380.67 ,109,6,Em análise,,,,,
1767,400,16,2021-04-13 20:39:24 UTC,1%,"$56,569.25 ","$80,760.58 ","$24,191.33 ","$1,338.66 ",60,3,Em análise,,,,,
1839,504,16,2021-05-30 06:14:25 UTC,2%,"$98,488.92 ","$145,228.75 ","$46,739.83 ","$3,154.97 ",43,3,Em análise,,,,,
181,667,17,2016-04-07 17:34:04 UTC,1%,"$61,740.46 ","$82,757.33 ","$21,016.87 ","$1,517.19 ",55,0,Em análise,,,,,
189,690,17,2020-11-27 00:26:31 UTC,1%,"$19,572.89 ","$32,461.13 ","$12,888.24 ",$732.05 ,33,1,Em análise,,,,,
349,147,17,2012-01-05 08:59:53 UTC,2%,"$27,524.24 ","$52,447.68 ","$24,923.44 ",$717.27 ,69,2,Em análise,,,,,
457,474,17,2020-12-23 02:44:41 UTC,1%,"$187,030.77 ","$238,235.74 ","$51,204.97 ","$12,541.50 ",16,3,Em análise,,,,,
1286,799,17,2011-05-14 04:54:51 UTC,2%,"$190,959.72 ","$231,287.71 ","$40,327.99 ","$17,891.14 ",12,5,Em análise,,,,,
1618,463,17,2016-01-02 20:36:12 UTC,2%,"$91,289.02 ","$108,764.32 ","$17,475.30 ","$2,233.45 ",95,2,Em análise,,,,,
833,324,18,2021-09-01 00:48:21 UTC,2%,"$130,988.74 ","$162,328.81 ","$31,340.07 ","$3,168.78 ",112,0,Em análise,,,,,
1144,235,18,2010-07-14 19:20:51 UTC,1%,"$108,675.98 ","$210,629.13 ","$101,953.15 ","$2,662.96 ",56,4,Em análise,,,,,
1476,928,18,2018-12-06 14:43:05 UTC,2%,"$154,585.07 ","$236,248.08 ","$81,663.01 ","$13,720.74 ",13,0,Em análise,,,,,
1522,273,18,2010-05-25 07:21:37 UTC,2%,"$125,651.84 ","$236,633.76 ","$110,981.92 ","$4,305.29 ",42,5,Em análise,,,,,
1591,260,18,2010-09-25 20:06:42 UTC,2%,"$115,049.79 ","$199,024.51 ","$83,974.72 ","$24,359.21 ",5,4,Em análise,,,,,
1824,708,18,2016-04-06 15:53:27 UTC,2%,"$138,655.68 ","$197,860.73 ","$59,205.05 ","$3,763.27 ",80,5,Em análise,,,,,
737,157,19,2010-10-30 17:18:23 UTC,2%,"$99,389.95 ","$159,316.57 ","$59,926.62 ","$2,365.91 ",113,6,Em análise,,,,,
1326,904,19,2016-01-01 03:17:54 UTC,2%,"$25,485.40 ","$37,107.30 ","$11,621.90 ",$771.80 ,63,2,Em análise,,,,,
1523,247,19,2020-07-31 08:21:22 UTC,2%,"$75,466.07 ","$142,225.29 ","$66,759.22 ","$2,536.03 ",48,3,Em análise,,,,,
174,530,20,2011-06-11 02:50:28 UTC,2%,"$51,830.18 ","$93,711.89 ","$41,881.71 ","$4,844.03 ",12,0,Em análise,,,,,
233,866,20,2020-11-26 22:35:25 UTC,2%,"$33,518.43 ","$65,218.60 ","$31,700.17 ","$4,670.74 ",8,1,Em análise,,,,,
305,482,20,2016-09-12 23:53:15 UTC,2%,"$135,352.84 ","$200,233.71 ","$64,880.87 ","$3,440.18 ",77,0,Em análise,,,,,
702,910,20,2014-10-16 15:43:01 UTC,1%,"$98,342.11 ","$134,155.29 ","$35,813.18 ","$3,932.17 ",31,5,Em análise,,,,,
1379,101,20,2020-07-28 00:07:36 UTC,2%,"$53,602.97 ","$89,103.04 ","$35,500.07 ","$1,722.76 ",48,4,Em análise,,,,,
1850,602,20,2012-10-14 21:55:11 UTC,2%,"$11,526.10 ","$22,325.93 ","$10,799.83 ",$223.16 ,108,4,Em análise,,,,,
1863,492,20,2013-10-22 12:19:57 UTC,2%,"$127,406.36 ","$196,109.76 ","$68,703.40 ","$5,780.91 ",27,4,Em análise,,,,,
577,752,21,2019-03-31 17:05:35 UTC,2%,"$16,502.49 ","$28,916.44 ","$12,413.95 ",$379.08 ,81,6,Em análise,,,,,
604,911,21,2017-04-05 17:07:50 UTC,1%,"$111,488.42 ","$156,289.02 ","$44,800.60 ","$2,542.12 ",57,0,Em análise,,,,,
1666,544,21,2013-03-02 00:43:51 UTC,2%,"$64,049.30 ","$106,188.84 ","$42,139.54 ","$2,124.06 ",54,2,Em análise,,,,,
11,706,23,2015-04-12 04:33:31 UTC,2%,"$7,450.56 ","$11,583.22 ","$4,132.66 ",$152.29 ,116,1,Em análise,,,,,
55,607,23,2020-06-04 16:50:24 UTC,2%,"$82,374.84 ","$100,418.72 ","$18,043.88 ","$8,269.17 ",11,2,Em análise,,,,,
176,599,23,2010-02-18 18:49:39 UTC,2%,"$123,385.95 ","$217,428.35 ","$94,042.40 ","$16,843.39 ",8,3,Em análise,,,,,
815,120,23,2014-07-07 13:26:25 UTC,1%,"$197,133.32 ","$246,001.18 ","$48,867.86 ","$5,372.54 ",51,3,Em análise,,,,,
1730,842,23,2011-09-18 14:17:27 UTC,1%,"$6,452.37 ","$12,480.59 ","$6,028.22 ",$183.86 ,43,0,Em análise,,,,,
1922,252,23,2015-09-25 17:06:36 UTC,1%,"$41,283.32 ","$67,822.99 ","$26,539.67 ",$697.52 ,103,6,Em análise,,,,,
771,557,24,2016-12-15 14:48:48 UTC,2%,"$8,192.68 ","$9,644.34 ","$1,451.66 ",$173.58 ,88,0,Em análise,,,,,
1258,139,24,2014-02-22 12:31:44 UTC,2%,"$64,667.96 ","$79,608.76 ","$14,940.80 ","$4,305.58 ",19,2,Em análise,,,,,
434,859,25,2017-06-27 17:45:08 UTC,1%,"$52,629.60 ","$77,727.42 ","$25,097.82 ","$1,104.49 ",64,3,Em análise,,,,,
742,83,25,2017-11-10 16:34:56 UTC,1%,"$144,793.34 ","$219,831.34 ","$75,038.00 ","$3,375.78 ",59,4,Em análise,,,,,
155,140,26,2010-08-10 14:49:13 UTC,1%,"$109,902.59 ","$205,505.77 ","$95,603.18 ","$1,946.91 ",100,4,Em análise,,,,,
183,803,26,2017-05-03 12:20:24 UTC,1%,"$140,983.59 ","$241,213.51 ","$100,229.92 ","$2,089.49 ",100,1,Em análise,,,,,
738,120,26,2016-09-04 11:18:44 UTC,1%,"$24,392.71 ","$40,416.16 ","$16,023.45 ","$1,426.95 ",19,5,Em análise,,,,,
1058,44,26,2014-03-29 13:57:44 UTC,1%,"$112,878.57 ","$162,656.39 ","$49,777.82 ","$2,942.72 ",46,1,Em análise,,,,,
1100,904,26,2017-06-29 09:05:28 UTC,2%,"$168,843.92 ","$244,055.69 ","$75,211.77 ","$5,054.88 ",61,2,Em análise,,,,,
1526,735,26,2022-05-29 04:33:30 UTC,1%,"$110,065.12 ","$194,494.67 ","$84,429.55 ","$8,513.42 ",14,3,Em análise,,,,,
1648,323,26,2022-01-21 11:07:44 UTC,2%,"$10,436.76 ","$12,302.68 ","$1,865.92 ",$229.24 ,120,6,Em análise,,,,,
1771,61,26,2014-10-15 00:14:58 UTC,2%,"$27,737.84 ","$46,672.24 ","$18,934.40 ",$757.68 ,78,0,Em análise,,,,,
1794,559,26,2019-04-24 10:21:51 UTC,1%,"$12,449.86 ","$17,115.37 ","$4,665.51 ",$464.13 ,31,4,Em análise,,,,,
336,218,27,2022-12-07 00:48:42 UTC,1%,"$16,572.92 ","$27,027.59 ","$10,454.67 ",$272.38 ,87,3,Em análise,,,,,
570,275,27,2014-05-20 15:55:55 UTC,2%,"$17,183.36 ","$24,405.58 ","$7,222.22 ",$462.85 ,105,5,Em análise,,,,,
1318,811,27,2019-03-01 10:32:37 UTC,2%,"$159,992.40 ","$204,814.51 ","$44,822.11 ","$10,365.29 ",19,3,Em análise,,,,,
1420,661,27,2012-06-15 09:19:45 UTC,2%,"$115,475.14 ","$175,842.38 ","$60,367.24 ","$2,958.90 ",99,6,Em análise,,,,,
1483,905,27,2012-02-13 03:17:30 UTC,2%,"$130,116.96 ","$245,412.65 ","$115,295.69 ","$5,396.17 ",36,4,Em análise,,,,,
1491,250,27,2016-10-23 12:31:21 UTC,1%,"$147,577.15 ","$224,493.97 ","$76,916.82 ","$7,555.91 ",22,3,Em análise,,,,,
130,959,28,2013-03-29 11:26:37 UTC,2%,"$31,596.57 ","$59,950.75 ","$28,354.18 ",$754.89 ,79,0,Em análise,,,,,
790,233,28,2010-08-12 19:51:10 UTC,1%,"$40,280.10 ","$77,997.85 ","$37,717.75 ","$1,129.03 ",49,0,Em análise,,,,,
1141,57,28,2016-12-08 06:51:57 UTC,2%,"$25,852.69 ","$48,288.60 ","$22,435.91 ",$645.64 ,76,4,Em análise,,,,,
1695,497,28,2010-05-14 22:57:17 UTC,1%,"$22,425.95 ","$29,841.47 ","$7,415.52 ",$349.85 ,93,0,Em análise,,,,,
1829,768,28,2017-01-22 02:59:22 UTC,2%,"$117,945.75 ","$182,004.77 ","$64,059.02 ","$2,609.58 ",95,0,Em análise,,,,,
901,865,29,2012-02-13 21:49:42 UTC,1%,"$110,241.56 ","$140,949.38 ","$30,707.82 ","$2,105.23 ",89,3,Em análise,,,,,
1013,410,29,2015-12-06 17:09:10 UTC,2%,"$90,568.70 ","$173,506.78 ","$82,938.08 ","$3,482.44 ",35,5,Em análise,,,,,
1032,250,29,2010-05-23 07:53:02 UTC,2%,"$76,870.65 ","$136,453.06 ","$59,582.41 ","$2,773.67 ",37,0,Em análise,,,,,
1065,400,29,2019-07-12 13:08:43 UTC,2%,"$91,507.72 ","$175,569.20 ","$84,061.48 ","$3,786.78 ",32,6,Em análise,,,,,
1714,307,29,2013-10-24 08:19:30 UTC,2%,"$110,972.56 ","$195,170.00 ","$84,197.44 ","$3,268.16 ",68,5,Em análise,,,,,
1860,70,29,2011-08-19 07:03:50 UTC,2%,"$70,038.21 ","$84,072.66 ","$14,034.45 ","$2,368.39 ",47,0,Em análise,,,,,
326,478,30,2020-09-29 02:37:44 UTC,2%,"$19,627.61 ","$25,977.11 ","$6,349.50 ",$697.28 ,46,3,Em análise,,,,,
825,298,30,2010-12-19 08:59:00 UTC,2%,"$186,109.74 ","$231,127.83 ","$45,018.09 ","$12,490.44 ",18,5,Em análise,,,,,
859,312,30,2021-08-03 05:47:19 UTC,1%,"$145,554.63 ","$188,606.65 ","$43,052.02 ","$5,517.17 ",30,0,Em análise,,,,,
1006,49,30,2013-10-20 02:34:28 UTC,1%,"$134,857.11 ","$170,072.67 ","$35,215.56 ","$2,243.96 ",108,6,Em análise,,,,,
1278,525,30,2021-11-10 10:42:39 UTC,2%,"$132,846.65 ","$201,870.30 ","$69,023.65 ","$2,623.96 ",120,5,Em análise,,,,,
1335,198,30,2019-02-14 13:34:26 UTC,2%,"$165,204.91 ","$217,250.63 ","$52,045.72 ","$3,125.42 ",115,5,Em análise,,,,,
1750,756,30,2020-04-14 11:58:17 UTC,2%,"$46,664.99 ","$71,877.71 ","$25,212.72 ","$1,290.05 ",69,4,Em análise,,,,,
1760,855,30,2013-03-05 04:45:03 UTC,1%,"$103,363.73 ","$149,314.80 ","$45,951.07 ","$3,201.83 ",39,5,Em análise,,,,,
108,322,31,2015-09-09 21:35:42 UTC,2%,"$16,522.42 ","$25,092.26 ","$8,569.84 ",$882.47 ,25,5,Em análise,,,,,
177,285,31,2019-06-20 19:30:30 UTC,1%,"$86,285.14 ","$112,021.34 ","$25,736.20 ","$7,291.15 ",13,3,Em análise,,,,,
721,247,31,2011-03-30 21:44:36 UTC,1%,"$165,121.88 ","$201,305.07 ","$36,183.19 ","$3,791.51 ",69,3,Em análise,,,,,
735,698,31,2016-08-25 04:41:10 UTC,1%,"$22,281.63 ","$30,661.75 ","$8,380.12 ",$350.13 ,112,6,Em análise,,,,,
747,403,31,2015-11-17 08:52:56 UTC,2%,"$36,091.21 ","$71,462.40 ","$35,371.19 ",$730.33 ,120,2,Em análise,,,,,
1092,767,31,2012-07-06 23:57:48 UTC,1%,"$129,802.84 ","$196,604.34 ","$66,801.50 ","$65,720.32 ",2,4,Em análise,,,,,
1248,935,31,2015-05-13 21:11:25 UTC,2%,"$106,501.49 ","$154,995.51 ","$48,494.02 ","$3,061.68 ",79,3,Em análise,,,,,
1332,736,31,2012-05-10 11:32:25 UTC,2%,"$45,176.08 ","$89,767.63 ","$44,591.55 ","$1,379.31 ",67,6,Em análise,,,,,
1827,52,31,2013-10-17 11:31:45 UTC,1%,"$187,312.95 ","$230,434.09 ","$43,121.14 ","$3,487.97 ",77,5,Em análise,,,,,
84,869,32,2017-12-31 19:42:56 UTC,2%,"$78,125.38 ","$114,587.70 ","$36,462.32 ","$2,476.77 ",46,5,Em análise,,,,,
827,246,32,2013-05-18 10:54:23 UTC,2%,"$25,739.07 ","$47,781.82 ","$22,042.75 ",$675.06 ,76,4,Em análise,,,,,
1385,768,32,2021-07-09 18:19:13 UTC,2%,"$139,365.42 ","$212,969.31 ","$73,603.89 ","$4,834.88 ",48,5,Em análise,,,,,
1665,490,32,2010-04-14 18:17:56 UTC,2%,"$109,303.53 ","$188,133.22 ","$78,829.69 ","$3,340.16 ",47,0,Em análise,,,,,
1880,425,32,2016-07-11 16:55:15 UTC,1%,"$77,502.48 ","$142,132.71 ","$64,630.23 ","$2,432.10 ",39,1,Em análise,,,,,
627,228,33,2014-09-06 07:17:33 UTC,1%,"$97,977.05 ","$116,474.55 ","$18,497.50 ","$1,618.79 ",98,5,Em análise,,,,,
1259,174,33,2022-12-05 14:25:10 UTC,2%,"$17,247.54 ","$34,326.14 ","$17,078.60 ","$1,137.97 ",19,6,Em análise,,,,,
1343,233,33,2019-09-08 02:01:21 UTC,2%,"$25,643.19 ","$44,769.69 ","$19,126.50 ",$623.83 ,92,4,Em análise,,,,,
1403,104,33,2017-12-31 16:48:23 UTC,1%,"$105,541.66 ","$181,977.25 ","$76,435.59 ","$3,178.90 ",39,6,Em análise,,,,,
1715,874,33,2016-02-20 17:55:53 UTC,2%,"$1,851.55 ","$2,551.30 ",$699.75 ,$47.93 ,100,0,Em análise,,,,,
199,592,34,2021-05-26 15:48:16 UTC,1%,"$6,964.23 ","$11,002.49 ","$4,038.26 ",$158.73 ,64,5,Em análise,,,,,
651,111,34,2017-10-07 21:17:43 UTC,2%,"$145,257.32 ","$245,895.49 ","$100,638.17 ","$7,361.77 ",25,5,Em análise,,,,,
707,825,34,2010-03-25 16:26:46 UTC,1%,"$34,347.37 ","$52,262.39 ","$17,915.02 ",$957.67 ,50,4,Em análise,,,,,
1097,26,34,2022-06-28 16:07:43 UTC,2%,"$145,855.94 ","$182,661.44 ","$36,805.50 ","$4,270.31 ",62,6,Em análise,,,,,
733,982,35,2014-09-13 18:08:10 UTC,2%,"$149,854.83 ","$244,315.53 ","$94,460.70 ","$3,516.87 ",113,1,Em análise,,,,,
1406,120,35,2014-03-07 08:04:51 UTC,1%,"$111,251.43 ","$181,158.62 ","$69,907.19 ","$9,476.77 ",13,3,Em análise,,,,,
1586,526,35,2013-07-03 02:44:11 UTC,1%,"$44,197.99 ","$72,577.21 ","$28,379.22 ","$1,426.67 ",40,4,Em análise,,,,,
47,56,36,2021-12-31 11:29:02 UTC,1%,"$105,484.71 ","$145,685.49 ","$40,200.78 ","$1,983.24 ",88,3,Em análise,,,,,
836,588,36,2010-02-25 18:00:41 UTC,1%,"$27,290.08 ","$39,950.02 ","$12,659.94 ",$923.72 ,36,1,Em análise,,,,,
842,917,36,2014-11-24 23:10:04 UTC,2%,"$85,653.03 ","$109,797.61 ","$24,144.58 ","$5,453.03 ",19,1,Em análise,,,,,
1397,619,36,2012-08-23 06:51:29 UTC,1%,"$130,275.83 ","$159,428.49 ","$29,152.66 ","$3,058.38 ",63,2,Em análise,,,,,
1823,145,36,2019-01-08 07:49:03 UTC,1%,"$97,072.12 ","$139,604.99 ","$42,532.87 ","$2,488.08 ",50,5,Em análise,,,,,
1945,191,36,2018-05-19 17:36:28 UTC,2%,"$11,567.16 ","$20,613.62 ","$9,046.46 ",$576.60 ,25,1,Em análise,,,,,
421,986,37,2010-10-03 14:19:41 UTC,2%,"$105,677.23 ","$168,762.35 ","$63,085.12 ","$28,077.36 ",4,4,Em análise,,,,,
426,231,37,2015-04-25 03:25:28 UTC,2%,"$44,141.84 ","$62,490.81 ","$18,348.97 ",$929.99 ,95,2,Em análise,,,,,
693,789,37,2010-08-17 16:35:43 UTC,1%,"$97,544.40 ","$169,529.40 ","$71,985.00 ","$1,843.72 ",104,2,Em análise,,,,,
211,816,38,2012-03-21 20:41:52 UTC,2%,"$31,314.23 ","$48,637.75 ","$17,323.52 ","$3,772.67 ",9,1,Em análise,,,,,
283,898,38,2011-03-15 04:20:52 UTC,1%,"$96,645.43 ","$150,680.51 ","$54,035.08 ","$1,484.42 ",105,2,Em análise,,,,,
566,228,38,2012-05-24 15:27:52 UTC,2%,"$130,658.60 ","$218,354.83 ","$87,696.23 ","$133,415.49 ",1,6,Em análise,,,,,
777,914,38,2015-03-12 17:02:22 UTC,2%,"$38,545.16 ","$57,307.10 ","$18,761.94 ",$861.30 ,96,4,Em análise,,,,,
977,546,38,2022-09-10 08:23:54 UTC,1%,"$21,209.41 ","$37,558.68 ","$16,349.27 ",$576.31 ,49,3,Em análise,,,,,
1005,751,38,2018-11-07 13:42:08 UTC,2%,"$123,500.97 ","$173,284.34 ","$49,783.37 ","$3,677.18 ",63,0,Em análise,,,,,
163,351,39,2015-02-24 17:31:12 UTC,2%,"$42,111.08 ","$64,496.04 ","$22,384.96 ","$1,037.10 ",94,0,Em análise,,,,,
438,252,39,2017-04-06 21:14:59 UTC,2%,"$120,199.91 ","$225,672.23 ","$105,472.32 ","$2,933.23 ",79,0,Em análise,,,,,
462,647,39,2014-02-01 03:41:21 UTC,1%,"$112,475.00 ","$197,900.88 ","$85,425.88 ","$4,778.52 ",29,5,Em análise,,,,,
843,194,39,2022-08-19 00:55:57 UTC,2%,"$123,546.66 ","$152,562.03 ","$29,015.37 ","$2,520.11 ",120,1,Em análise,,,,,
1082,918,39,2011-04-22 04:39:48 UTC,1%,"$78,303.61 ","$95,991.34 ","$17,687.73 ","$2,768.49 ",34,5,Em análise,,,,,
1103,197,39,2020-11-07 12:35:19 UTC,1%,"$88,369.70 ","$164,966.27 ","$76,596.57 ","$2,671.02 ",45,6,Em análise,,,,,
1106,245,39,2015-01-26 02:42:19 UTC,1%,"$25,582.20 ","$34,251.82 ","$8,669.62 ",$426.16 ,115,4,Em análise,,,,,
273,831,40,2011-09-09 11:24:54 UTC,2%,"$64,239.20 ","$108,649.53 ","$44,410.33 ","$1,764.80 ",54,0,Em análise,,,,,
607,837,40,2020-05-16 11:24:49 UTC,2%,"$146,669.27 ","$197,647.71 ","$50,978.44 ","$3,981.02 ",100,2,Em análise,,,,,
1085,328,40,2010-10-09 18:29:03 UTC,1%,"$138,021.30 ","$166,540.49 ","$28,519.19 ","$5,975.63 ",27,6,Em análise,,,,,
1263,680,40,2021-10-08 21:00:11 UTC,2%,"$120,055.61 ","$237,277.28 ","$117,221.67 ","$3,254.19 ",62,1,Em análise,,,,,
1634,89,40,2021-05-31 18:45:33 UTC,1%,"$28,144.09 ","$37,257.18 ","$9,113.09 ","$2,023.58 ",15,4,Em análise,,,,,
291,417,41,2018-02-10 01:44:53 UTC,2%,"$87,329.69 ","$169,641.19 ","$82,311.50 ","$2,286.60 ",59,0,Em análise,,,,,
520,86,41,2018-09-29 11:28:52 UTC,2%,"$141,778.31 ","$201,697.94 ","$59,919.63 ","$2,621.36 ",112,5,Em análise,,,,,
670,49,41,2022-02-07 04:09:33 UTC,2%,"$106,553.90 ","$165,337.10 ","$58,783.20 ","$2,379.62 ",77,6,Em análise,,,,,
950,805,41,2016-01-25 10:11:55 UTC,1%,"$65,047.89 ","$120,998.70 ","$55,950.81 ","$1,329.24 ",72,6,Em análise,,,,,
1509,828,41,2017-11-17 16:49:36 UTC,1%,"$20,351.40 ","$39,761.78 ","$19,410.38 ",$527.69 ,50,1,Em análise,,,,,
1884,604,41,2020-07-21 19:30:23 UTC,2%,"$3,439.26 ","$5,144.30 ","$1,705.04 ",$88.70 ,59,0,Em análise,,,,,
1249,935,42,2017-04-25 13:10:28 UTC,2%,"$72,674.86 ","$129,818.38 ","$57,143.52 ","$1,938.29 ",75,2,Em análise,,,,,
1277,235,42,2022-08-21 04:20:52 UTC,2%,"$43,792.49 ","$64,373.18 ","$20,580.69 ",$937.25 ,109,5,Em análise,,,,,
124,491,43,2022-05-06 10:30:29 UTC,2%,"$40,044.79 ","$75,589.36 ","$35,544.57 ","$4,119.68 ",11,6,Em análise,,,,,
205,425,43,2020-04-02 08:14:39 UTC,1%,"$112,816.16 ","$197,807.13 ","$84,990.97 ","$1,992.77 ",112,2,Em análise,,,,,
256,711,43,2021-08-02 15:02:29 UTC,2%,"$97,061.75 ","$135,058.79 ","$37,997.04 ","$2,005.23 ",118,5,Em análise,,,,,
259,10,43,2016-09-01 23:12:46 UTC,2%,"$94,491.59 ","$160,159.63 ","$65,668.04 ","$19,757.18 ",5,6,Em análise,,,,,
800,770,43,2010-06-10 04:49:07 UTC,2%,"$145,749.30 ","$184,197.69 ","$38,448.39 ","$3,712.09 ",118,1,Em análise,,,,,
